Date,Rank,Title,gross,theaters,per_theater,total_gross,Genres,Original Language,Director,Release Date (Theator),Runtime,Distributor,Prod Co.,Box Office (Gross USA)
2020/2/14,5,The Photograph,"$14,844,640","2,516","$5,900","$14,844,640",Drama,Indonesian,Nan Triveni Achnas,,1h 34m,,"Centre national de la Cinématographie, Ministère des Affaires étrangères et du Développement International",
2020/2/14,6,1917,"$11,262,485","3,084","$3,652","$147,587,469","War, History, Drama",English,Sam Mendes,"Jan 10, 2020",1h 59m,Universal Pictures,"Neal Street Productions, Amblin Entertainment",$159.2M
2020/2/14,7,Parasite,"$8,133,945","2,001","$4,065","$45,821,489","Horror, Sci-fi",English,,,1h 30m,,,
2020/2/14,8,Jumanji: The Next Level,"$7,948,137","2,410","$3,298","$307,964,423","Adventure, Action, Comedy, Fantasy",English,Jake Kasdan,"Dec 13, 2019",2h 3m,"Columbia Pictures, Sony Pictures Entertainment","Matt Tolmach Productions, The Detective Agency, Seven Bucks Productions",$316.8M
2020/2/14,9,Dolittle,"$7,192,775","2,869","$2,507","$72,644,290","Kids & family, Fantasy, Adventure, Comedy",English,Stephen Gaghan,"Jan 17, 2020",1h 40m,Universal Pictures,"Perfect World Pictures, Universal Pictures, Team Downey",$77.0M
2020/2/14,10,Downhill,"$5,972,260","2,301","$2,596","$5,972,260","Comedy, Drama",English,James Rouse,,1h 38m,,,
2020/2/14,11,The Gentlemen,"$3,873,279","1,802","$2,149","$32,397,342","Crime, Drama, Comedy",English,Guy Ritchie,"Jan 24, 2020",1h 53m,STX Films,Toff Guy,$36.5M
2020/2/14,12,Knives Out,"$2,928,170","1,154","$2,537","$162,639,187","Mystery & thriller, Comedy, Drama",English,Rian Johnson,"Nov 27, 2019",2h 10m,Lionsgate Films,"FilmNation Entertainment, Media Rights Capital",$165.4M
2020/2/14,13,Little Women,"$2,439,265","1,035","$2,357","$106,242,271","Drama, Musical",English,William Corrigan,,1h 10m,,CBS,
2020/2/14,14,Star Wars: The Rise of Skywalker,"$2,077,009",992,"$2,094","$513,563,372","Sci-fi, Adventure, Action, Fantasy",English,J.J. Abrams,"Dec 20, 2019",2h 22m,Walt Disney,"Lucasfilm Ltd., Bad Robot",$515.2M
2020/2/14,15,Gretel & Hansel,"$2,050,653","1,645","$1,247","$14,732,570","Horror, Fantasy",English,Oz Perkins,"Jan 31, 2020",1h 27m,Orion Pictures,Automatic Pictures,$15.3M
2020/2/14,16,Jojo Rabbit,"$1,407,296",484,"$2,908","$32,262,604","Comedy, Drama",English,Taika Waititi,"Nov 8, 2019",1h 48m,Fox Searchlight,Unison Films,$33.4M
2020/2/14,17,Frozen II,"$1,388,650",716,"$1,939","$476,076,353","Kids & family, Musical, Comedy, Adventure, Animation",English,"Chris Buck, Jennifer Lee","Nov 22, 2019",1h 43m,Walt Disney,"Walt Disney Pictures, Walt Disney Animation",$477.4M
2020/2/14,18,Just Mercy,"$1,161,474",846,"$1,373","$35,141,640",Drama,English,Destin Daniel Cretton,"Jan 10, 2020",2h 16m,Warner Bros. Pictures,Netter Productions,$36.0M
2020/2/14,19,Spies in Disguise,"$827,255",519,"$1,594","$65,969,659","Kids & family, Comedy, Adventure, Action, Animation",English,"Troy Quane, Nick Bruno","Dec 25, 2019",1h 42m,20th Century Fox,"Twentieth Century Fox Animation, Chernin Entertainment, Blue Sky Studios",$66.7M
2020/2/14,20,The Turning,"$691,670",610,"$1,134","$15,218,235",Drama,English,"Jonathan auf der Heide, Tony Ayres, Robert Connolly, Jub Clerc",,3h 0m,,"Arenamedia, Screen Australia",
2020/2/21,1,The Call of the Wild,"$32,804,038","3,752","$8,743","$32,804,038",Action,,D.W. Griffith,,16m,,American Mutoscope & Biograph,
2020/2/21,2,Sonic The Hedgehog,"$31,991,981","4,198","$7,621","$112,293,652","Kids & family, Comedy, Adventure, Fantasy",English,Jeff Fowler,,1h 40m,,"Original Film, Paramount Pictures",
2020/2/21,3,Birds of Prey (And the Fantabulous Emancipation…,"$9,223,724","3,565","$2,587","$74,747,739","Action, Comedy",English,Cathy Yan,"Feb 7, 2020",1h 49m,Warner Bros. Pictures,"DC Entertainment, Clubhouse Pictures (II), Kroll & Co. Entertainment",$84.1M
2020/2/21,4,Bad Boys For Life,"$7,752,740","2,972","$2,609","$193,068,385","Action, Comedy",English,"Adil El Arbi, Bilall Fallah","Jan 17, 2020",2h 4m,"Columbia Pictures, Sony Pictures Entertainment","2.0 Entertainment, Jerry Bruckheimer Films, Columbia Pictures",$204.3M
2020/2/21,5,Brahms: The Boy II,"$7,147,619","2,151","$3,323","$7,147,619","Horror, Mystery & thriller",English,William Brent Bell,"Feb 21, 2020",1h 26m,STX Films,"STX Entertainment, Vertigo Entertainment, Lakeshore Entertainment",$12.6M
2020/2/21,6,Fantasy Island,"$5,742,583","2,784","$2,063","$21,729,653",Adventure,English,Richard Lang,,1h 40m,,Columbia Pictures Television,
2020/2/21,7,1917,"$5,609,600","2,725","$2,059","$153,197,069","War, History, Drama",English,Sam Mendes,"Jan 10, 2020",1h 59m,Universal Pictures,"Neal Street Productions, Amblin Entertainment",$159.2M
2020/2/21,8,Parasite,"$4,225,522","1,803","$2,344","$50,047,011","Horror, Sci-fi",English,,,1h 30m,,,
2020/2/21,9,The Photograph,"$3,733,115","2,516","$1,484","$18,577,755",Drama,Indonesian,Nan Triveni Achnas,,1h 34m,,"Centre national de la Cinématographie, Ministère des Affaires étrangères et du Développement International",
2020/2/21,10,Jumanji: The Next Level,"$3,641,487","2,126","$1,713","$311,605,910","Adventure, Action, Comedy, Fantasy",English,Jake Kasdan,"Dec 13, 2019",2h 3m,"Columbia Pictures, Sony Pictures Entertainment","Matt Tolmach Productions, The Detective Agency, Seven Bucks Productions",$316.8M
2020/2/21,11,My Hero Academia: Heroes: Rising,"$3,403,332","1,275","$2,669","$3,403,332","Action, Adventure, Anime",Japanese,Kenji Nagasaki,"Feb 26, 2020",1h 44m,Funimation,Bones,$13.3M
2020/2/21,12,Impractical Jokers: The Movie,"$3,077,091",357,"$8,619","$3,077,091",Comedy,English,Chris Henchy,"Feb 28, 2020",1h 33m,truTV,"Funny or Die, truTV",$10.2M
2020/2/21,13,Dolittle,"$2,355,765","2,265","$1,040","$75,000,055","Kids & family, Fantasy, Adventure, Comedy",English,Stephen Gaghan,"Jan 17, 2020",1h 40m,Universal Pictures,"Perfect World Pictures, Universal Pictures, Team Downey",$77.0M
2020/2/21,14,Downhill,"$1,981,500","2,311",$857,"$7,953,760","Comedy, Drama",English,James Rouse,,1h 38m,,,
2020/2/21,15,My Boyfriend’s Meds,"$1,737,426",350,"$4,964","$1,737,426",Comedy,Spanish,Diego Kaplan,"Feb 21, 2020",1h 40m,"Lionsgate Films, Pantelion Films","Lionsgate, Traziende Films, Fuego Films",$3.0M
2020/2/21,16,The Gentlemen,"$1,679,129","1,133","$1,482","$34,076,471","Crime, Drama, Comedy",English,Guy Ritchie,"Jan 24, 2020",1h 53m,STX Films,Toff Guy,$36.5M
2020/2/21,17,Knives Out,"$1,386,056",949,"$1,461","$164,025,243","Mystery & thriller, Comedy, Drama",English,Rian Johnson,"Nov 27, 2019",2h 10m,Lionsgate Films,"FilmNation Entertainment, Media Rights Capital",$165.4M
2020/2/21,18,Portrait of a Lady on Fire,"$988,174",130,"$7,601","$1,723,288","History, Drama, Lgbtq+",French (France),Céline Sciamma,"Dec 6, 2019",2h 1m,Neon,"Lilies Films, Hold Up Films, arte France Cinéma",$3.8M
2020/2/21,19,Little Women,"$987,875",633,"$1,561","$107,230,146","Drama, Musical",English,William Corrigan,,1h 10m,,CBS,
2020/2/21,20,The Lodge,"$888,216",322,"$2,758","$1,184,498","Horror, Mystery & thriller",English,"Veronika Franz, Severin Fiala","Feb 7, 2020",1h 48m,Neon,"Hammer Films, FilmNation",$2.1M
2020/2/28,1,The Invisible Man,"$37,543,570","3,610","$10,400","$37,543,570",Sci-fi,English,Robert Lewis,,1h 14m,,,
2020/2/28,2,Sonic The Hedgehog,"$20,524,500","4,177","$4,914","$132,818,152","Kids & family, Comedy, Adventure, Fantasy",English,Jeff Fowler,,1h 40m,,"Original Film, Paramount Pictures",
2020/2/28,3,The Call of the Wild,"$17,679,700","3,865","$4,574","$50,483,738",Action,,D.W. Griffith,,16m,,American Mutoscope & Biograph,
2020/2/28,4,My Hero Academia: Heroes: Rising,"$7,792,075","1,260","$6,184","$11,195,407","Action, Adventure, Anime",Japanese,Kenji Nagasaki,"Feb 26, 2020",1h 44m,Funimation,Bones,$13.3M
2020/2/28,5,Bad Boys For Life,"$5,909,718","2,708","$2,182","$198,978,103","Action, Comedy",English,"Adil El Arbi, Bilall Fallah","Jan 17, 2020",2h 4m,"Columbia Pictures, Sony Pictures Entertainment","2.0 Entertainment, Jerry Bruckheimer Films, Columbia Pictures",$204.3M
2020/2/28,6,Birds of Prey (And the Fantabulous Emancipation…,"$5,652,843","3,124","$1,809","$80,400,582","Action, Comedy",English,Cathy Yan,"Feb 7, 2020",1h 49m,Warner Bros. Pictures,"DC Entertainment, Clubhouse Pictures (II), Kroll & Co. Entertainment",$84.1M
2020/2/28,7,Impractical Jokers: The Movie,"$4,550,000","1,769","$2,572","$7,627,091",Comedy,English,Chris Henchy,"Feb 28, 2020",1h 33m,truTV,"Funny or Die, truTV",$10.2M
2020/2/28,8,1917,"$3,727,025","2,232","$1,670","$156,924,094","War, History, Drama",English,Sam Mendes,"Jan 10, 2020",1h 59m,Universal Pictures,"Neal Street Productions, Amblin Entertainment",$159.2M
2020/2/28,9,Brahms: The Boy II,"$3,384,235","2,151","$1,573","$10,531,854","Horror, Mystery & thriller",English,William Brent Bell,"Feb 21, 2020",1h 26m,STX Films,"STX Entertainment, Vertigo Entertainment, Lakeshore Entertainment",$12.6M
2020/2/28,10,Fantasy Island,"$3,201,244","2,724","$1,175","$24,930,897",Adventure,English,Richard Lang,,1h 40m,,Columbia Pictures Television,
2020/2/28,11,Jumanji: The Next Level,"$2,925,684","1,811","$1,616","$314,531,594","Adventure, Action, Comedy, Fantasy",English,Jake Kasdan,"Dec 13, 2019",2h 3m,"Columbia Pictures, Sony Pictures Entertainment","Matt Tolmach Productions, The Detective Agency, Seven Bucks Productions",$316.8M
2020/2/28,12,Parasite,"$2,126,439","1,324","$1,606","$52,173,450","Horror, Sci-fi",English,,,1h 30m,,,
2020/2/28,13,Emma.,"$1,590,615",97,"$16,398","$1,892,065","Romance, Drama",English (United Kingdom),Autumn de Wilde,"Mar 6, 2020",2h 5m,Focus Features,"Working Title Films, Perfect World Pictures, Blueprint Pictures",$9.9M
2020/2/28,14,The Gentlemen,"$1,567,713","1,473","$1,064","$35,644,184","Crime, Drama, Comedy",English,Guy Ritchie,"Jan 24, 2020",1h 53m,STX Films,Toff Guy,$36.5M
2020/2/28,15,Dolittle,"$1,475,475","1,477",$999,"$76,475,530","Kids & family, Fantasy, Adventure, Comedy",English,Stephen Gaghan,"Jan 17, 2020",1h 40m,Universal Pictures,"Perfect World Pictures, Universal Pictures, Team Downey",$77.0M
2020/2/28,16,The Photograph,"$1,436,295","1,449",$991,"$20,014,050",Drama,Indonesian,Nan Triveni Achnas,,1h 34m,,"Centre national de la Cinématographie, Ministère des Affaires étrangères et du Développement International",
2020/2/28,17,Portrait of a Lady on Fire,"$1,098,993",268,"$4,101","$2,822,281","History, Drama, Lgbtq+",French (France),Céline Sciamma,"Dec 6, 2019",2h 1m,Neon,"Lilies Films, Hold Up Films, arte France Cinéma",$3.8M
2020/2/28,18,Knives Out,"$837,202",670,"$1,250","$164,862,445","Mystery & thriller, Comedy, Drama",English,Rian Johnson,"Nov 27, 2019",2h 10m,Lionsgate Films,"FilmNation Entertainment, Media Rights Capital",$165.4M
2020/2/28,19,My Boyfriend’s Meds,"$810,979",350,"$2,317","$2,548,405",Comedy,Spanish,Diego Kaplan,"Feb 21, 2020",1h 40m,"Lionsgate Films, Pantelion Films","Lionsgate, Traziende Films, Fuego Films",$3.0M
2020/2/28,20,Little Women,"$576,939",432,"$1,336","$107,807,085","Drama, Musical",English,William Corrigan,,1h 10m,,CBS,
2020/3/6,1,Onward,"$49,758,687","4,310","$11,545","$49,758,687","Kids & family, Comedy, Adventure, Fantasy, Animation",English,Dan Scanlon,"Mar 6, 2020",1h 43m,Walt Disney,"Walt Disney Pictures, Pixar Animation Studios",$60.4M
2020/3/6,2,The Invisible Man,"$20,876,115","3,610","$5,783","$58,419,685",Sci-fi,English,Robert Lewis,,1h 14m,,,
2020/3/6,3,The Way Back,"$11,020,873","2,718","$4,055","$11,020,873",Drama,English,Peter Weir,"Jan 21, 2011",2h 13m,Newmarket Film Group,Exclusive Films,$2.7M
2020/3/6,4,Sonic The Hedgehog,"$10,413,176","3,717","$2,802","$143,231,328","Kids & family, Comedy, Adventure, Fantasy",English,Jeff Fowler,,1h 40m,,"Original Film, Paramount Pictures",
2020/3/6,5,The Call of the Wild,"$9,382,173","3,914","$2,397","$59,865,911",Action,,D.W. Griffith,,16m,,American Mutoscope & Biograph,
2020/3/6,6,Emma.,"$6,743,910","1,565","$4,309","$8,635,975","Romance, Drama",English (United Kingdom),Autumn de Wilde,"Mar 6, 2020",2h 5m,Focus Features,"Working Title Films, Perfect World Pictures, Blueprint Pictures",$9.9M
2020/3/6,7,Bad Boys For Life,"$4,214,298","2,159","$1,952","$203,192,401","Action, Comedy",English,"Adil El Arbi, Bilall Fallah","Jan 17, 2020",2h 4m,"Columbia Pictures, Sony Pictures Entertainment","2.0 Entertainment, Jerry Bruckheimer Films, Columbia Pictures",$204.3M
2020/3/6,8,Birds of Prey (And the Fantabulous Emancipation…,"$3,107,975","2,173","$1,430","$83,508,557","Action, Comedy",English,Cathy Yan,"Feb 7, 2020",1h 49m,Warner Bros. Pictures,"DC Entertainment, Clubhouse Pictures (II), Kroll & Co. Entertainment",$84.1M
2020/3/6,9,Impractical Jokers: The Movie,"$2,419,000","1,775","$1,363","$10,046,091",Comedy,English,Chris Henchy,"Feb 28, 2020",1h 33m,truTV,"Funny or Die, truTV",$10.2M
2020/3/6,10,My Hero Academia: Heroes: Rising,"$2,358,419",658,"$3,584","$13,553,826","Action, Adventure, Anime",Japanese,Kenji Nagasaki,"Feb 26, 2020",1h 44m,Funimation,Bones,$13.3M
2020/3/6,11,1917,"$1,922,935","1,535","$1,253","$158,847,029","War, History, Drama",English,Sam Mendes,"Jan 10, 2020",1h 59m,Universal Pictures,"Neal Street Productions, Amblin Entertainment",$159.2M
2020/3/6,12,Jumanji: The Next Level,"$1,830,810","1,403","$1,305","$316,362,404","Adventure, Action, Comedy, Fantasy",English,Jake Kasdan,"Dec 13, 2019",2h 3m,"Columbia Pictures, Sony Pictures Entertainment","Matt Tolmach Productions, The Detective Agency, Seven Bucks Productions",$316.8M
2020/3/6,13,Brahms: The Boy II,"$1,696,949","1,355","$1,252","$12,228,803","Horror, Mystery & thriller",English,William Brent Bell,"Feb 21, 2020",1h 26m,STX Films,"STX Entertainment, Vertigo Entertainment, Lakeshore Entertainment",$12.6M
2020/3/6,14,Fantasy Island,"$1,250,282","1,362",$918,"$26,181,179",Adventure,English,Richard Lang,,1h 40m,,Columbia Pictures Television,
2020/3/6,15,Parasite,"$974,394",625,"$1,559","$53,147,844","Horror, Sci-fi",English,,,1h 30m,,,
2020/3/6,16,Portrait of a Lady on Fire,"$766,773",334,"$2,296","$3,589,054","History, Drama, Lgbtq+",French (France),Céline Sciamma,"Dec 6, 2019",2h 1m,Neon,"Lilies Films, Hold Up Films, arte France Cinéma",$3.8M
2020/3/6,17,Baaghi 3,"$666,661",265,"$2,516","$666,661","Action, Romance",Hindi,Ahmed Khan,"Mar 6, 2020",2h 23m,FIP,"Fox Star Studios, Nadiadwala Grandson Entertainment",$716.9K
2020/3/6,18,The Gentlemen,"$546,481",492,"$1,111","$36,190,665","Crime, Drama, Comedy",English,Guy Ritchie,"Jan 24, 2020",1h 53m,STX Films,Toff Guy,$36.5M
2020/3/6,19,Dolittle,"$485,445",687,$707,"$76,960,975","Kids & family, Fantasy, Adventure, Comedy",English,Stephen Gaghan,"Jan 17, 2020",1h 40m,Universal Pictures,"Perfect World Pictures, Universal Pictures, Team Downey",$77.0M
2020/3/6,20,The Photograph,"$470,270",382,"$1,231","$20,484,320",Drama,Indonesian,Nan Triveni Achnas,,1h 34m,,"Centre national de la Cinématographie, Ministère des Affaires étrangères et du Développement International",
2020/3/13,1,Onward,"$11,796,458","4,310","$2,737","$61,555,145","Kids & family, Comedy, Adventure, Fantasy, Animation",English,Dan Scanlon,"Mar 6, 2020",1h 43m,Walt Disney,"Walt Disney Pictures, Pixar Animation Studios",$60.4M
2020/3/13,2,Bloodshot,"$10,021,787","2,861","$3,503","$10,021,787","Horror, Romance",English (United Kingdom),Raoul Girard,,1h 42m,,,
2020/3/13,3,I Still Believe,"$9,868,521","3,250","$3,036","$9,868,521","Biography, Drama, Romance, Music",English,"Jon Erwin, Andrew Erwin","Mar 13, 2020",1h 55m,Lionsgate Films,Kevin Downes,$9.1M
2020/3/13,4,The Invisible Man,"$6,494,365","3,636","$1,786","$64,914,050",Sci-fi,English,Robert Lewis,,1h 14m,,,
2020/3/13,5,The Hunt,"$5,812,500","3,028","$1,920","$5,812,500",Mystery & thriller,Italian,Giuseppe Bennati,,1h 26m,,,
2020/3/13,6,Sonic The Hedgehog,"$2,835,142","3,041",$932,"$146,066,470","Kids & family, Comedy, Adventure, Fantasy",English,Jeff Fowler,,1h 40m,,"Original Film, Paramount Pictures",
2020/3/13,7,The Way Back,"$2,569,641","2,718",$945,"$13,590,514",Drama,English,Peter Weir,"Jan 21, 2011",2h 13m,Newmarket Film Group,Exclusive Films,$2.7M
2020/3/13,8,The Call of the Wild,"$2,476,457","3,201",$774,"$62,342,368",Action,,D.W. Griffith,,16m,,American Mutoscope & Biograph,
2020/3/13,9,Emma.,"$1,419,380","1,732",$820,"$10,055,355","Romance, Drama",English (United Kingdom),Autumn de Wilde,"Mar 6, 2020",2h 5m,Focus Features,"Working Title Films, Perfect World Pictures, Blueprint Pictures",$9.9M
2020/3/13,10,Bad Boys For Life,"$1,225,454","1,451",$845,"$204,417,855","Action, Comedy",English,"Adil El Arbi, Bilall Fallah","Jan 17, 2020",2h 4m,"Columbia Pictures, Sony Pictures Entertainment","2.0 Entertainment, Jerry Bruckheimer Films, Columbia Pictures",$204.3M
2020/3/13,11,Birds of Prey (And the Fantabulous Emancipation…,"$649,904","2,173",$299,"$84,158,461","Action, Comedy",English,Cathy Yan,"Feb 7, 2020",1h 49m,Warner Bros. Pictures,"DC Entertainment, Clubhouse Pictures (II), Kroll & Co. Entertainment",$84.1M
2020/3/13,12,Jumanji: The Next Level,"$468,842",862,$544,"$316,831,246","Adventure, Action, Comedy, Fantasy",English,Jake Kasdan,"Dec 13, 2019",2h 3m,"Columbia Pictures, Sony Pictures Entertainment","Matt Tolmach Productions, The Detective Agency, Seven Bucks Productions",$316.8M
2020/3/13,13,Brahms: The Boy II,"$382,733",607,$631,"$12,611,536","Horror, Mystery & thriller",English,William Brent Bell,"Feb 21, 2020",1h 26m,STX Films,"STX Entertainment, Vertigo Entertainment, Lakeshore Entertainment",$12.6M
2020/3/13,14,1917,"$380,615",766,$497,"$159,227,644","War, History, Drama",English,Sam Mendes,"Jan 10, 2020",1h 59m,Universal Pictures,"Neal Street Productions, Amblin Entertainment",$159.2M
2020/3/13,15,Fantasy Island,"$260,603",515,$506,"$26,441,782",Adventure,English,Richard Lang,,1h 40m,,Columbia Pictures Television,
2020/3/13,16,The Gentlemen,"$106,189",226,$470,"$36,296,854","Crime, Drama, Comedy",English,Guy Ritchie,"Jan 24, 2020",1h 53m,STX Films,Toff Guy,$36.5M
2020/3/13,17,The Photograph,"$93,865",198,$474,"$20,578,185",Drama,Indonesian,Nan Triveni Achnas,,1h 34m,,"Centre national de la Cinématographie, Ministère des Affaires étrangères et du Développement International",
2020/3/13,18,Knives Out,"$93,503",221,$423,"$165,363,254","Mystery & thriller, Comedy, Drama",English,Rian Johnson,"Nov 27, 2019",2h 10m,Lionsgate Films,"FilmNation Entertainment, Media Rights Capital",$165.4M
2020/3/13,19,Star Wars: The Rise of Skywalker,"$86,768",189,$459,"$515,202,542","Sci-fi, Adventure, Action, Fantasy",English,J.J. Abrams,"Dec 20, 2019",2h 22m,Walt Disney,"Lucasfilm Ltd., Bad Robot",$515.2M
2020/3/13,20,Dolittle,"$86,090",256,$336,"$77,047,065","Kids & family, Fantasy, Adventure, Comedy",English,Stephen Gaghan,"Jan 17, 2020",1h 40m,Universal Pictures,"Perfect World Pictures, Universal Pictures, Team Downey",$77.0M
2020/3/20,1,I Still Believe,"$37,812",126,$300,"$9,906,333","Biography, Drama, Romance, Music",English,"Jon Erwin, Andrew Erwin","Mar 13, 2020",1h 55m,Lionsgate Films,Kevin Downes,$9.1M
2020/3/20,2,Saint Frances,"$24,480",25(v),$979,"$60,355","Comedy, Drama",English,Alex Thompson,"Feb 28, 2020",1h 46m,Oscilloscope Laboratories,,$16.1K
2020/3/20,3,"Phoenix, Oregon","$5,155",17(v),$303,"$23,511","Comedy, Drama",English,Gary Lundgren,,1h 48m,,Joma Films,
2020/3/20,4,Be Natural: The Untold Story Of Alice Guy-Blaché,$198,1,$198,"$115,492",Documentary,English,Pamela B. Green,"Mar 15, 2019",1h 43m,"Zeitgeist Films, Kino Lorber",Wildwood Enterprises,$101.1K
2020/3/20,5,Lost in America,$102,1,$102,"$11,301",Comedy,English,Albert Brooks,"Feb 8, 1985",1h 31m,,"Marty Katz Productions, The Geffen Company",
2020/3/27,1,Saint Frances,"$22,771",89(v),$256,"$83,126","Comedy, Drama",English,Alex Thompson,"Feb 28, 2020",1h 46m,Oscilloscope Laboratories,,$16.1K
2020/3/27,2,I Still Believe,"$17,942",18,$997,"$9,924,275","Biography, Drama, Romance, Music",English,"Jon Erwin, Andrew Erwin","Mar 13, 2020",1h 55m,Lionsgate Films,Kevin Downes,$9.1M
2020/3/27,3,Strike,"$2,802",2,"$1,401","$2,802",Comedy,English,Tommy Reid,,1h 30m,,,
2020/3/27,4,"Phoenix, Oregon","$2,256",25(v),$90,"$25,767","Comedy, Drama",English,Gary Lundgren,,1h 48m,,Joma Films,
2020/4/3,1,Saint Frances,"$18,129",107(v),$169,"$101,255","Comedy, Drama",English,Alex Thompson,"Feb 28, 2020",1h 46m,Oscilloscope Laboratories,,$16.1K
2020/4/3,2,I Still Believe,"$4,459",6,$743,"$9,928,734","Biography, Drama, Romance, Music",English,"Jon Erwin, Andrew Erwin","Mar 13, 2020",1h 55m,Lionsgate Films,Kevin Downes,$9.1M
2020/4/3,3,"Phoenix, Oregon","$3,855",27(v),$143,"$29,622","Comedy, Drama",English,Gary Lundgren,,1h 48m,,Joma Films,
2020/4/3,4,The Other Lamb,"$2,070",1,"$2,070","$2,070","Drama, Horror",English,Małgorzata Szumowska,"Apr 3, 2020",1h 37m,IFC Midnight,"Subotica Entertainment, Rooks Nest Entertainment",$6.0K
2020/4/3,5,Best of Catvideofest,"$1,026",37(v),$28,"$1,026",,,,,,,,
2020/4/10,1,Best of Catvideofest,"$20,541",118(v),$174,"$21,567",,,,,,,,
2020/4/10,2,Saint Frances,"$15,397",126(v),$122,"$116,652","Comedy, Drama",English,Alex Thompson,"Feb 28, 2020",1h 46m,Oscilloscope Laboratories,,$16.1K
2020/4/10,3,"Monero Means Money: Cryptocurrency 101, Live fr…","$3,500",247(v),$14,"$3,500",,,,,,,,
2020/4/10,4,Swallow,"$2,787",1,"$2,787","$29,156",Mystery & thriller,English,Carlo Mirabella-Davis,"Mar 6, 2020",1h 35m,IFC Films,"Syncopated Films, Charades, Stand Alone Productions, Logical Pictures",$31.3K
2020/4/10,5,The Other Lamb,"$2,490",1,"$2,490","$4,560","Drama, Horror",English,Małgorzata Szumowska,"Apr 3, 2020",1h 37m,IFC Midnight,"Subotica Entertainment, Rooks Nest Entertainment",$6.0K
2020/4/17,1,Other Music,"$37,191",214(v),$174,"$37,191","Documentary, Musical",,"Puloma Basu, Rob Hatch-Miller","Apr 15, 2020",1h 23m,Factory 25,,
2020/4/17,2,Best of Catvideofest,"$12,720",138(v),$92,"$34,287",,,,,,,,
2020/4/17,3,I Still Believe,"$11,204",4,"$2,801","$9,942,768","Biography, Drama, Romance, Music",English,"Jon Erwin, Andrew Erwin","Mar 13, 2020",1h 55m,Lionsgate Films,Kevin Downes,$9.1M
2020/4/17,4,Saint Frances,"$10,623",100(v),$106,"$127,275","Comedy, Drama",English,Alex Thompson,"Feb 28, 2020",1h 46m,Oscilloscope Laboratories,,$16.1K
2020/4/17,6,Resistance,"$4,263",1,"$4,263","$4,263",Drama,English,"Ken McMullen, Christopher Rodrigues",,1h 30m,,,
2020/4/17,5,Swallow,"$4,263",1,"$4,263","$33,419",Mystery & thriller,English,Carlo Mirabella-Davis,"Mar 6, 2020",1h 35m,IFC Films,"Syncopated Films, Charades, Stand Alone Productions, Logical Pictures",$31.3K
2020/4/17,7,"Monero Means Money: Cryptocurrency 101, Live fr…",$330,5,$66,"$3,830",,,,,,,,
2020/4/24,1,I Still Believe,"$15,448",3,"$5,149","$9,958,216","Biography, Drama, Romance, Music",English,"Jon Erwin, Andrew Erwin","Mar 13, 2020",1h 55m,Lionsgate Films,Kevin Downes,$9.1M
2020/4/24,2,True History Of The Kelly Gang,"$15,030",5,"$3,006","$15,030","Crime, Drama, Biography",English (Australia),Justin Kurzel,"Apr 24, 2020",2h 4m,IFC Films,"Screen Australia, Film4, Porchlight Films, Film Victoria, Daybreak Pictures, La Cinéfacture",$33.8K
2020/4/24,3,Resistance,"$3,201",1,"$3,201","$7,464",Drama,English,"Ken McMullen, Christopher Rodrigues",,1h 30m,,,
2020/5/1,1,The Wretched,"$95,686",12,"$7,974","$95,686",Drama,Hindi,Shlok Sharma,,2h 18m,,,
2020/5/1,2,I Still Believe,"$52,382",22,"$2,381","$10,010,598","Biography, Drama, Romance, Music",English,"Jon Erwin, Andrew Erwin","Mar 13, 2020",1h 55m,Lionsgate Films,Kevin Downes,$9.1M
2020/5/1,3,Disappearance at Clifton Hill,"$18,466",2,"$9,233","$21,915","Drama, Mystery & thriller",English,Albert Shin,"Feb 28, 2020",1h 40m,IFC Midnight,Rhombus Media,$23.7K
2020/5/1,4,True History Of The Kelly Gang,"$16,010",2,"$8,005","$31,040","Crime, Drama, Biography",English (Australia),Justin Kurzel,"Apr 24, 2020",2h 4m,IFC Films,"Screen Australia, Film4, Porchlight Films, Film Victoria, Daybreak Pictures, La Cinéfacture",$33.8K
2020/5/1,5,The Other Lamb,"$1,199",1,"$1,199","$6,024","Drama, Horror",English,Małgorzata Szumowska,"Apr 3, 2020",1h 37m,IFC Midnight,"Subotica Entertainment, Rooks Nest Entertainment",$6.0K
2020/5/8,1,The Wretched,"$116,271",19,"$6,120","$211,957",Drama,Hindi,Shlok Sharma,,2h 18m,,,
2020/5/8,2,I Still Believe,"$51,595",31,"$1,664","$10,062,193","Biography, Drama, Romance, Music",English,"Jon Erwin, Andrew Erwin","Mar 13, 2020",1h 55m,Lionsgate Films,Kevin Downes,$9.1M
2020/5/8,3,How to Build a Girl,"$19,802",6,"$3,300","$19,802",Comedy,English (United Kingdom),Coky Giedroyc,,1h 42m,,"Film 4, Monumental Pictures, Lionsgate",$70.5K
2020/5/8,4,Disappearance at Clifton Hill,"$3,169",1,"$3,169","$25,084","Drama, Mystery & thriller",English,Albert Shin,"Feb 28, 2020",1h 40m,IFC Midnight,Rhombus Media,$23.7K
