,FCLTY_NM,EVENT_SDIV_NM,EVENT_NM,RENTLSPCE_BEGIN_DE,RENTLSPCE_END_DE,REQST_EVENT_NMPR_CO,EXCCLC_EVENT_NMPR_CO,ISE_ELSE_FLAG_NM,USE_DAY_CO,WEEKDAY_BEGIN,WEEKDAY_END,WEEKEND,HOLIDAY,YEAR_END,BEGIN_AVG_WEEKDAY,END_AVG_WEEKDAY,AVG_MONTH,년도,월,계절,텍스트,유사공연_가중평균
346,우리금융아트홀,문화예술행사,기획공연 파워레인저 다이노포스 -1차,2014-12-06,2015-01-11,30000,30172,내부,37,5,6,1,1,0,6682.392273,9046.74234,9088.03012,2014년,12월 1월,,우리금융아트홀 문화예술행사 기획공연 파워레인저 다이노포스 -1차 2014년 12월 1월  내부,12633.11408
347,KSPO DOME(체조경기장),문화예술행사,동방신기 단독 콘서트,2014-12-06,2014-12-07,27200,19815,내부,2,5,6,1,0,0,6682.392273,9046.74234,9088.03012,2014년,12월,겨울,KSPO DOME(체조경기장) 문화예술행사 동방신기 단독 콘서트 2014년 12월 겨울 내부,14205.27342
348,핸드볼경기장,문화예술행사,2014 휘성콘서트,2014-12-06,2014-12-07,7700,4778,내부,2,5,6,1,0,0,6682.392273,9046.74234,9088.03012,2014년,12월,겨울,핸드볼경기장 문화예술행사 2014 휘성콘서트 2014년 12월 겨울 내부,6276.32391
349,KSPO DOME(체조경기장),문화예술행사,2014 박효신 15주년 콘서트,2014-12-12,2014-12-14,19000,30058,내부,3,4,6,1,0,0,9870.415686,9046.74234,9088.03012,2014년,12월,겨울,KSPO DOME(체조경기장) 문화예술행사 2014 박효신 15주년 콘서트 2014년 12월 겨울 내부,17298.76708
350,올림픽홀,문화예술행사,월간 윤종신콘서트-2014 종신예술대상,2014-12-12,2014-12-13,5000,3230,내부,2,4,5,1,0,0,9870.415686,3467.288401,9088.03012,2014년,12월,겨울,올림픽홀 문화예술행사 월간 윤종신콘서트-2014 종신예술대상 2014년 12월 겨울 내부,5154.146068
351,핸드볼경기장,문화예술행사,에릭베넷&에일리,2014-12-13,2014-12-13,1800,1433,내부,1,5,5,1,0,0,6682.392273,3467.288401,9088.03012,2014년,12월,겨울,핸드볼경기장 문화예술행사 에릭베넷&에일리 2014년 12월 겨울 내부,7445.702564
352,올림픽홀,문화예술행사,하나외환 VIP초청 음악회,2014-12-15,2014-12-15,2000,2550,내부,1,0,0,0,0,0,4026.73913,19989.09615,9088.03012,2014년,12월,겨울,올림픽홀 문화예술행사 하나외환 VIP초청 음악회 2014년 12월 겨울 내부,2744.887611
353,핸드볼경기장,문화예술행사,2014 바이브 연말 콘서트,2014-12-19,2014-12-20,7200,5721,내부,2,4,5,1,0,0,9870.415686,3467.288401,9088.03012,2014년,12월,겨울,KSPO DOME(체조경기장) 문화예술행사 2014 싸이 올나잇 스탠드 콘서트 2014년 12월 겨울 내부,19840.24717
354,올림픽홀,문화예술행사,2014 어반자카파콘서트,2014-12-19,2014-12-21,8100,5594,내부,3,4,6,1,0,1,9870.415686,9046.74234,9088.03012,2014년,12월,겨울,핸드볼경기장 문화예술행사 2014 바이브 연말 콘서트 2014년 12월 겨울 내부,5252.406928
355,KSPO DOME(체조경기장),문화예술행사,2014 싸이 올나잇 스탠드 콘서트,2014-12-19,2014-12-24,62770,51518,내부,6,4,2,0,0,1,9870.415686,5102.242857,9088.03012,2014년,12월,겨울,올림픽홀 문화예술행사 2014 어반자카파콘서트 2014년 12월 겨울 내부,4381.691139
356,핸드볼경기장,문화예술행사,2014 컬투 크리스말쇼,2014-12-23,2014-12-28,37827,22903,내부,6,1,6,1,1,1,5544.786885,9046.74234,9088.03012,2014년,12월,겨울,핸드볼경기장 문화예술행사 2014 컬투 크리스말쇼 2014년 12월 겨울 내부,5741.30628
357,올림픽홀,문화예술행사,뮤즈라이브-좋아서하는밴드,2014-12-24,2014-12-27,720,791,내부,4,2,5,1,1,1,4465.204819,3467.288401,9088.03012,2014년,12월,겨울,올림픽홀 문화예술행사 뮤즈라이브-좋아서하는밴드 2014년 12월 겨울 내부,2160.768641
358,올림픽홀,문화예술행사,DJ DOC 20주년 기념콘서트,2014-12-30,2014-12-30,7600,6162,내부,1,1,1,0,0,1,5544.786885,6651.4375,9088.03012,2014년,12월,겨울,KSPO DOME(체조경기장) 문화예술행사 2014 서태지 콘서트 2014년 12월 겨울 내부,24731.65347
359,KSPO DOME(체조경기장),문화예술행사,2014 서태지 콘서트,2014-12-30,2014-12-31,24000,9222,내부,2,1,2,0,0,1,5544.786885,5102.242857,9088.03012,2014년,12월,겨울,핸드볼경기장 문화예술행사 2014 리쌍 콘서트 2014년 12월 겨울 내부,6229.943465
360,핸드볼경기장,문화예술행사,2014 리쌍 콘서트,2014-12-30,2014-12-31,8000,5705,내부,2,1,2,0,0,1,5544.786885,5102.242857,9088.03012,2014년,12월,겨울,올림픽홀 문화예술행사 DJ DOC 20주년 기념콘서트 2014년 12월 겨울 내부,4181.973368
361,기타,공공행사,2015 새해맞이 한마당(망월봉),2014-12-30,2015-01-01,8000,8000,외부,3,1,3,0,1,1,5544.786885,3046.842105,9088.03012,2014년,12월 1월,,기타 공공행사 2015 새해맞이 한마당(망월봉) 2014년 12월 1월  외부,38172.38662
362,KSPO DOME(체조경기장),문화예술행사,BMK 및 포맨 콘서트,2015-01-10,2015-01-10,13000,15410,내부,1,5,5,1,0,0,6682.392273,3467.288401,8519.324324,2015년,1월,겨울,KSPO DOME(체조경기장) 문화예술행사 BMK 및 포맨 콘서트 2015년 1월 겨울 내부,16990.24938
363,올림픽홀,문화예술행사,GOT7 팬미팅,2015-01-17,2015-01-17,3500,2650,내부,1,5,5,1,0,0,6682.392273,3467.288401,8519.324324,2015년,1월,겨울,올림픽홀 문화예술행사 GOT7 팬미팅 2015년 1월 겨울 내부,2814.495199
364,K-아트홀,문화예술행사,에디킴 미니 2집 발매 쇼케이스,2015-01-21,2015-01-21,400,400,내부,1,2,2,0,0,0,4465.204819,5102.242857,8519.324324,2015년,1월,겨울,K-아트홀 문화예술행사 에디킴 미니 2집 발매 쇼케이스 2015년 1월 겨울 내부,2019.179081
365,뮤즈라이브,문화예술행사,동아방송대학교 DIMArtist 6회,2015-01-27,2015-01-27,100,70,내부,1,1,1,0,0,0,5544.786885,6651.4375,8519.324324,2015년,1월,겨울,뮤즈라이브 문화예술행사 동아방송대학교 DIMArtist 6회 2015년 1월 겨울 내부,6477.857304
366,올림픽홀,문화예술행사,에이핑크(Apink) 1st콘서트,2015-01-30,2015-01-31,5000,6404,내부,2,4,5,1,0,0,9870.415686,3467.288401,8519.324324,2015년,1월,겨울,올림픽홀 문화예술행사 에이핑크(Apink) 1st콘서트 2015년 1월 겨울 내부,2379.995913
367,뮤즈라이브,문화예술행사,에이핑크 1st 콘서트 기자회견,2015-01-30,2015-01-30,140,140,내부,1,4,4,0,0,0,9870.415686,2788.224138,8519.324324,2015년,1월,겨울,뮤즈라이브 문화예술행사 에이핑크 1st 콘서트 기자회견 2015년 1월 겨울 내부,4563.871827
368,KSPO DOME(체조경기장),문화예술행사,WINNER 팬미팅,2015-01-31,2015-01-31,8500,8738,내부,1,5,5,1,0,0,6682.392273,3467.288401,8519.324324,2015년,1월,겨울,KSPO DOME(체조경기장) 문화예술행사 WINNER 팬미팅 2015년 1월 겨울 내부,17327.20402
369,올림픽홀,문화예술행사,"2015 홍광호콘서트 ""HONGCERT""",2015-02-06,2015-02-08,7500,6110,내부,3,4,6,1,0,0,9870.415686,9046.74234,5050.405063,2015년,2월,겨울,"올림픽홀 문화예술행사 2015 홍광호콘서트 ""HONGCERT"" 2015년 2월 겨울 내부",2379.742478
370,K-아트홀,문화예술행사,Days of honey & rose(프렐류드콘서트),2015-02-13,2015-02-14,700,343,내부,2,4,5,1,0,0,9870.415686,3467.288401,5050.405063,2015년,2월,겨울,K-아트홀 문화예술행사 Days of honey & rose(프렐류드콘서트) 2015년 2월 겨울 내부,6780.342567
371,KSPO DOME(체조경기장),문화예술행사,박효신 앵콜 콘서트,2015-02-14,2015-02-15,20000,20504,내부,2,5,6,1,0,0,6682.392273,9046.74234,5050.405063,2015년,2월,겨울,KSPO DOME(체조경기장) 문화예술행사 박효신 앵콜 콘서트 2015년 2월 겨울 내부,14666.91648
372,핸드볼경기장,문화예술행사,블락비 팬클럽 2기 팬미팅,2015-02-15,2015-02-15,6000,6657,내부,1,6,6,1,0,0,4671.767123,9046.74234,5050.405063,2015년,2월,겨울,핸드볼경기장 문화예술행사 블락비 팬클럽 2기 팬미팅 2015년 2월 겨울 내부,5432.134552
373,올림픽홀,문화예술행사,송해 전국 투어 - 내 나이가 어때서,2015-02-19,2015-02-19,3200,1890,내부,1,3,3,0,1,0,15796.44595,3046.842105,5050.405063,2015년,2월,겨울,올림픽홀 문화예술행사 송해 전국 투어 - 내 나이가 어때서 2015년 2월 겨울 내부,3705.710478
374,KSPO DOME(체조경기장),문화예술행사,Back to the 90's 콘서트,2015-02-21,2015-02-21,7000,6479,내부,1,5,5,1,0,0,6682.392273,3467.288401,5050.405063,2015년,2월,겨울,KSPO DOME(체조경기장) 문화예술행사 Back to the 90's 콘서트 2015년 2월 겨울 내부,17326.32461
375,핸드볼경기장,문화예술행사,서태지밴드 앵콜공연,2015-03-01,2015-03-01,10000,6128,내부,1,6,6,1,1,0,4671.767123,9046.74234,7098.186916,2015년,3월,봄,핸드볼경기장 문화예술행사 서태지밴드 앵콜공연 2015년 3월 봄 내부,10417.75394
376,KSPO DOME(체조경기장),문화예술행사,EXO 2번째 단독콘서트,2015-03-07,2015-03-15,65000,65757,내부,9,5,6,1,0,0,6682.392273,9046.74234,7098.186916,2015년,3월,봄,KSPO DOME(체조경기장) 문화예술행사 EXO 2번째 단독콘서트 2015년 3월 봄 내부,17768.14059
377,올림픽홀,대중공연,2015 김광석 다시 부르기 콘서트,2015-03-07,2015-03-07,4000,2270,내부,1,5,5,1,0,0,6682.392273,3467.288401,7098.186916,2015년,3월,봄,올림픽홀 대중공연 2015 김광석 다시 부르기 콘서트 2015년 3월 봄 내부,3191.958042
378,핸드볼경기장,문화예술행사,에드시런 첫 내한공연,2015-03-08,2015-03-08,4000,3467,내부,1,6,6,1,0,0,4671.767123,9046.74234,7098.186916,2015년,3월,봄,핸드볼경기장 문화예술행사 에드시런 첫 내한공연 2015년 3월 봄 내부,7432.734802
379,뮤즈라이브,문화예술행사,2015 홍경민의 어쿠스틱 톡서트 5,2015-03-13,2015-03-14,237,818,내부,2,4,5,1,0,0,9870.415686,3467.288401,7098.186916,2015년,3월,봄,뮤즈라이브 문화예술행사 2015 홍경민의 어쿠스틱 톡서트 5 2015년 3월 봄 내부,4181.068602
380,올림픽홀,대중공연,쿨20주년기념콘서트 안녕들한가요 서울앵콜공연,2015-03-14,2015-03-14,2500,1620,내부,1,5,5,1,0,0,6682.392273,3467.288401,7098.186916,2015년,3월,봄,올림픽홀 대중공연 쿨20주년기념콘서트 안녕들한가요 서울앵콜공연 2015년 3월 봄 내부,3743.298464
381,우리금융아트홀,문화예술행사,멜리아나 내한공연,2015-03-14,2015-03-14,800,919,내부,1,5,5,1,0,0,6682.392273,3467.288401,7098.186916,2015년,3월,봄,우리금융아트홀 문화예술행사 멜리아나 내한공연 2015년 3월 봄 내부,7679.578256
382,KSPO DOME(체조경기장),문화예술행사,2015 신화 17주년 기념 콘서트,2015-03-21,2015-03-22,22500,22808,내부,2,5,6,1,0,0,6682.392273,9046.74234,7098.186916,2015년,3월,봄,KSPO DOME(체조경기장) 문화예술행사 2015 신화 17주년 기념 콘서트 2015년 3월 봄 내부,25611.12309
383,올림픽홀,대중공연,임시완 팬미팅(가제: 미생),2015-03-21,2015-03-22,6000,2230,내부,2,5,6,1,0,0,6682.392273,9046.74234,7098.186916,2015년,3월,봄,올림픽홀 대중공연 임시완 팬미팅(가제: 미생) 2015년 3월 봄 내부,2217.192548
384,핸드볼경기장,체육행사,SK텔레콤 국제그랑프리펜싱대회,2015-03-28,2015-03-29,800,800,내부,2,5,6,1,0,0,6682.392273,9046.74234,7098.186916,2015년,3월,봄,핸드볼경기장 체육행사 SK텔레콤 국제그랑프리펜싱대회 2015년 3월 봄 내부,4265.664771
385,KSPO DOME(체조경기장),문화예술행사,2015 VIXX 콘서트,2015-03-28,2015-03-29,18000,17467,내부,2,5,6,1,0,0,6682.392273,9046.74234,7098.186916,2015년,3월,봄,KSPO DOME(체조경기장) 문화예술행사 2015 VIXX 콘서트 2015년 3월 봄 내부,25746.79961
386,올림픽홀,문화예술행사,2015방탄 소년단 콘서트,2015-03-28,2015-03-29,6500,6600,내부,2,5,6,1,0,0,6682.392273,9046.74234,7098.186916,2015년,3월,봄,올림픽홀 문화예술행사 2015방탄 소년단 콘서트 2015년 3월 봄 내부,3292.277146
387,K-아트홀,대중공연,미쓰에이(miss A) 쇼케이스,2015-03-30,2015-03-30,200,350,내부,1,0,0,0,0,0,4026.73913,19989.09615,7098.186916,2015년,3월,봄,K-아트홀 대중공연 미쓰에이(miss A) 쇼케이스 2015년 3월 봄 내부,1879.115819
388,올림픽홀,대중공연,TOP FC 6,2015-04-05,2015-04-05,1500,890,내부,1,6,6,1,0,0,4671.767123,9046.74234,5306.733333,2015년,4월,봄,올림픽홀 대중공연 TOP FC 6 2015년 4월 봄 내부,2406.46205
389,올림픽홀,대중공연,핑크마티니 내한공연,2015-04-08,2015-04-08,3000,1790,내부,1,2,2,0,0,0,4465.204819,5102.242857,5306.733333,2015년,4월,봄,올림픽홀 대중공연 핑크마티니 내한공연 2015년 4월 봄 내부,2462.015488
390,K-아트홀,문화예술행사,그라미 서커스쇼,2015-04-11,2015-05-10,12000,10971,내부,30,5,6,1,1,0,6682.392273,9046.74234,5306.733333,2015년,4월 5월,,K-아트홀 문화예술행사 그라미 서커스쇼 2015년 4월 5월  내부,3311.885252
391,올림픽홀,대중공연,SGC콘서트,2015-04-12,2015-04-12,3000,4730,내부,1,6,6,1,0,0,4671.767123,9046.74234,5306.733333,2015년,4월,봄,올림픽홀 대중공연 SGC콘서트 2015년 4월 봄 내부,2230.454838
392,핸드볼보조경기장,공공행사,제25회송파구청장기배드민턴대회,2015-04-12,2015-04-12,1300,1000,내부,1,6,6,1,0,0,4671.767123,9046.74234,5306.733333,2015년,4월,봄,핸드볼보조경기장 공공행사 제25회송파구청장기배드민턴대회 2015년 4월 봄 내부,1325.089267
393,KSPO DOME(체조경기장),문화예술행사,힐송워십내한공연,2015-04-19,2015-04-19,5000,6883,내부,1,6,6,1,0,0,4671.767123,9046.74234,5306.733333,2015년,4월,봄,KSPO DOME(체조경기장) 문화예술행사 힐송워십내한공연 2015년 4월 봄 내부,21011.90392
394,KSPO DOME(체조경기장),공공행사,힐송워십 내한공연,2015-04-19,2015-04-19,5000,5000,내부,1,6,6,1,0,0,4671.767123,9046.74234,5306.733333,2015년,4월,봄,KSPO DOME(체조경기장) 공공행사 힐송워십 내한공연 2015년 4월 봄 내부,8125.782851
395,올림픽홀,대중공연,피아노가이즈 첫 내한공연,2015-04-20,2015-04-20,1800,1996,내부,1,0,0,0,0,0,4026.73913,19989.09615,5306.733333,2015년,4월,봄,올림픽홀 대중공연 피아노가이즈 첫 내한공연 2015년 4월 봄 내부,2442.69368
396,KSPO DOME(체조경기장),문화예술행사,2015 빅뱅 콘서트,2015-04-25,2015-04-26,24000,27635,내부,2,5,6,1,0,0,6682.392273,9046.74234,5306.733333,2015년,4월,봄,평화의광장 공공행사 저탄소생활 한마당대회 / 온실가스 1인 1톤 줄이기 한마음 걷기대회 2015년 4월 봄 외부,776.904082
397,평화의광장,공공행사,저탄소생활 한마당대회 / 온실가스 1인 1톤 줄이기 한마음 걷기대회,2015-04-25,2015-04-25,3000,1500,외부,1,5,5,1,0,0,6682.392273,3467.288401,5306.733333,2015년,4월,봄,KSPO DOME(체조경기장) 문화예술행사 2015 빅뱅 콘서트 2015년 4월 봄 내부,22985.37643
398,핸드볼경기장,체육행사,제12회 회장배 댄스스포츠 선수권대회,2015-04-26,2015-04-26,1000,974,내부,1,6,6,1,0,0,4671.767123,9046.74234,5306.733333,2015년,4월,봄,핸드볼경기장 체육행사 제12회 회장배 댄스스포츠 선수권대회 2015년 4월 봄 내부,1136.285593
399,우리금융아트홀,대중공연,이준기 팬미팅,2015-05-02,2015-05-02,800,800,내부,1,5,5,1,0,0,6682.392273,3467.288401,7317.985075,2015년,5월,봄,88잔디마당 문화예술행사 뷰티풀 민트 라이프 2015 2015년 5월 봄 외부,11232.30368
400,88잔디마당,문화예술행사,뷰티풀 민트 라이프 2015,2015-05-02,2015-05-03,8000,11607,외부,2,5,6,1,0,0,6682.392273,9046.74234,7317.985075,2015년,5월,봄,88호수수변무대 문화예술행사 뷰티풀 민트 라이프 2015 2015년 5월 봄 외부,6537.569224
401,88호수수변무대,문화예술행사,뷰티풀 민트 라이프 2015,2015-05-02,2015-05-03,9000,1400,외부,2,5,6,1,0,0,6682.392273,9046.74234,7317.985075,2015년,5월,봄,우리금융아트홀 대중공연 이준기 팬미팅 2015년 5월 봄 내부,2820.937366
402,KSPO DOME(체조경기장),문화예술행사,청년평화페스티벌,2015-05-03,2015-05-03,13000,11920,내부,1,6,6,1,0,0,4671.767123,9046.74234,7317.985075,2015년,5월,봄,KSPO DOME(체조경기장) 문화예술행사 청년평화페스티벌 2015년 5월 봄 내부,18027.32443
403,핸드볼경기장,체육행사,제4회 일요신문배 전국어린이 바둑대회,2015-05-05,2015-05-05,800,1200,내부,1,1,1,0,1,0,5544.786885,6651.4375,7317.985075,2015년,5월,봄,핸드볼경기장 체육행사 제4회 일요신문배 전국어린이 바둑대회 2015년 5월 봄 내부,973.4850049
404,올림픽홀,대중공연,오승근 효 콘서트 -내 나이가 어때서-,2015-05-08,2015-05-08,5400,2170,내부,1,4,4,0,0,0,9870.415686,2788.224138,7317.985075,2015년,5월,봄,올림픽홀 대중공연 오승근 효 콘서트 -내 나이가 어때서- 2015년 5월 봄 내부,2670.440019
405,KSPO DOME(체조경기장),문화예술행사,러쉬 냄새나는 콘서트 4,2015-05-09,2015-05-09,10000,7121,내부,1,5,5,1,0,0,6682.392273,3467.288401,7317.985075,2015년,5월,봄,KSPO DOME(체조경기장) 문화예술행사 러쉬 냄새나는 콘서트 4 2015년 5월 봄 내부,18722.46267
406,핸드볼보조경기장,체육행사,2015 서울세계시각장애인경기대회,2015-05-10,2015-05-17,7200,370,내부,8,6,6,1,0,0,4671.767123,9046.74234,7317.985075,2015년,5월,봄,핸드볼보조경기장 체육행사 2015 서울세계시각장애인경기대회 2015년 5월 봄 내부,2827.309149
407,올림픽홀,대중공연,남진 50주년 대공연  “감사합니다” - 서울,2015-05-10,2015-05-10,2500,3760,내부,1,6,6,1,0,0,4671.767123,9046.74234,7317.985075,2015년,5월,봄,올림픽홀 대중공연 남진 50주년 대공연  “감사합니다” - 서울 2015년 5월 봄 내부,4666.052055
408,뮤즈라이브,문화예술행사,인피니트 '김성규' 쇼케이스,2015-05-11,2015-05-11,200,320,내부,1,0,0,0,0,0,4026.73913,19989.09615,7317.985075,2015년,5월,봄,뮤즈라이브 문화예술행사 인피니트 '김성규' 쇼케이스 2015년 5월 봄 내부,2334.429855
409,피크닉광장,공공행사,제2회 치매극복 전국 걷기대회,2015-05-15,2015-05-15,1100,1100,외부,1,4,4,0,0,0,9870.415686,2788.224138,7317.985075,2015년,5월,봄,KSPO DOME(체조경기장) 문화예술행사 샤이니 4번째 단독 콘서트 2015년 5월 봄 내부,23242.81012
410,KSPO DOME(체조경기장),문화예술행사,샤이니 4번째 단독 콘서트,2015-05-15,2015-05-17,24000,24369,내부,3,4,6,1,0,0,9870.415686,9046.74234,7317.985075,2015년,5월,봄,피크닉광장 공공행사 제2회 치매극복 전국 걷기대회 2015년 5월 봄 외부,48437.3735
411,K-아트홀,대중공연,2015 홍종현 서울팬미팅,2015-05-16,2015-05-16,250,220,내부,1,5,5,1,0,0,6682.392273,3467.288401,7317.985075,2015년,5월,봄,평화의광장 공공행사 2018평창동계올림픽ㆍ패럴림픽 G-1000일 계기 행사 2015년 5월 봄 외부,803.7979178
412,평화의광장,공공행사,2018평창동계올림픽ㆍ패럴림픽 G-1000일 계기 행사,2015-05-16,2015-05-16,4000,3500,외부,1,5,5,1,0,0,6682.392273,3467.288401,7317.985075,2015년,5월,봄,올림픽홀 대중공연 부활 30주년 콘서트 2015년 5월 봄 내부,2873.731172
413,올림픽홀,대중공연,부활 30주년 콘서트,2015-05-16,2015-05-16,3000,2680,내부,1,5,5,1,0,0,6682.392273,3467.288401,7317.985075,2015년,5월,봄,K-아트홀 대중공연 2015 홍종현 서울팬미팅 2015년 5월 봄 내부,3798.237616
414,K-아트홀,대중공연,정엽 소극장 콘서트,2015-05-21,2015-05-25,380,1832,내부,5,3,0,0,1,0,15796.44595,19989.09615,7317.985075,2015년,5월,봄,K-아트홀 대중공연 정엽 소극장 콘서트 2015년 5월 봄 내부,3577.493429
415,평화의광장,공공행사,"제5회 국민체육진흥공단, 하나금융그룹과 함께하는 무료 인라인스케이팅 교실",2015-05-23,2015-05-23,700,700,외부,1,5,5,1,0,0,6682.392273,3467.288401,7317.985075,2015년,5월,봄,KSPO DOME(체조경기장) 문화예술행사 제9회 서울재즈페스티벌 2015 2015년 5월 봄 내부,17234.48211
416,88잔디마당,문화예술행사,제9회 서울재즈페스티벌 2015,2015-05-23,2015-05-25,20000,25201,외부,3,5,0,1,1,0,6682.392273,19989.09615,7317.985075,2015년,5월,봄,핸드볼경기장 문화예술행사 제9회 서울재즈페스티벌 2015 2015년 5월 봄 내부,4367.942945
417,핸드볼경기장,문화예술행사,제9회 서울재즈페스티벌 2015,2015-05-23,2015-05-25,5000,6500,내부,3,5,0,1,1,0,6682.392273,19989.09615,7317.985075,2015년,5월,봄,88잔디마당 문화예술행사 제9회 서울재즈페스티벌 2015 2015년 5월 봄 외부,9283.885519
418,KSPO DOME(체조경기장),문화예술행사,제9회 서울재즈페스티벌 2015,2015-05-23,2015-05-25,10000,9000,내부,3,5,0,1,1,0,6682.392273,19989.09615,7317.985075,2015년,5월,봄,피크닉광장 공공행사 2015 심장병예방 한 걸음 더 걷기대회 2015년 5월 봄 외부,2354.548523
419,피크닉광장,공공행사,2015 심장병예방 한 걸음 더 걷기대회,2015-05-23,2015-05-23,500,450,외부,1,5,5,1,0,0,6682.392273,3467.288401,7317.985075,2015년,5월,봄,"평화의광장 공공행사 제5회 국민체육진흥공단, 하나금융그룹과 함께하는 무료 인라인스케이팅 교실 2015년 5월 봄 외부",1340.51023
420,평화의광장,문화예술행사,이승철 힐링 콘서트 'Dear Mother',2015-05-26,2015-05-26,3000,4000,외부,1,1,1,0,0,0,5544.786885,6651.4375,7317.985075,2015년,5월,봄,평화의광장 문화예술행사 이승철 힐링 콘서트 'Dear Mother' 2015년 5월 봄 외부,1328.731291
421,K-아트홀,대중공연,버즈 소극장 콘서트,2015-05-27,2015-05-31,380,1391,내부,5,2,6,1,0,0,4465.204819,9046.74234,7317.985075,2015년,5월,봄,K-아트홀 대중공연 버즈 소극장 콘서트 2015년 5월 봄 내부,3686.5396
422,올림픽홀,대중공연,2015 펜타토닉스(Pentatonix) 내한공연,2015-05-28,2015-05-28,3300,3480,내부,1,3,3,0,0,0,15796.44595,3046.842105,7317.985075,2015년,5월,봄,올림픽홀 대중공연 2015 펜타토닉스(Pentatonix) 내한공연 2015년 5월 봄 내부,2423.364014
423,뮤즈라이브,문화예술행사,박승화의 뮤직브런치,2015-05-29,2015-05-29,237,103,내부,1,4,4,0,0,0,9870.415686,2788.224138,7317.985075,2015년,5월,봄,뮤즈라이브 문화예술행사 박승화의 뮤직브런치 2015년 5월 봄 내부,2577.062702
424,올림픽홀,대중공연,이디나멘젤 내한공연,2015-05-30,2015-05-30,3000,990,내부,1,5,5,1,0,0,6682.392273,3467.288401,7317.985075,2015년,5월,봄,올림픽홀 대중공연 이디나멘젤 내한공연 2015년 5월 봄 내부,2623.665897
425,평화의광장,문화예술행사,2015 동물보호문화축제,2015-05-31,2015-05-31,5000,3500,외부,1,6,6,1,0,0,4671.767123,9046.74234,7317.985075,2015년,5월,봄,평화의광장 문화예술행사 2015 동물보호문화축제 2015년 5월 봄 외부,9594.581284
426,88잔디마당,문화예술행사,2015 뮤즈인시티 페스티벌,2015-06-06,2015-06-06,8000,2443,외부,1,5,5,1,1,0,6682.392273,3467.288401,6191.480392,2015년,6월,여름,88잔디마당 문화예술행사 2015 뮤즈인시티 페스티벌 2015년 6월 여름 외부,10368.23477
427,KSPO DOME(체조경기장),문화예술행사,동방신기 앵콜 콘서트,2015-06-13,2015-06-14,22000,20483,내부,2,5,6,1,0,0,6682.392273,9046.74234,6191.480392,2015년,6월,여름,KSPO DOME(체조경기장) 문화예술행사 동방신기 앵콜 콘서트 2015년 6월 여름 내부,25638.41964
428,KSPO DOME(체조경기장),공공행사,2015 세계 간호사 대회,2015-06-19,2015-06-23,10000,4000,내부,5,4,1,0,0,0,9870.415686,6651.4375,6191.480392,2015년,6월,여름,KSPO DOME(체조경기장) 공공행사 2015 세계 간호사 대회 2015년 6월 여름 내부,14315.01772
429,우리금융아트홀,문화예술행사,조이올팍 브런치콘서트1,2015-06-22,2015-06-23,800,407,내부,2,0,1,0,0,0,4026.73913,6651.4375,6191.480392,2015년,6월,여름,우리금융아트홀 문화예술행사 조이올팍 브런치콘서트1 2015년 6월 여름 내부,10518.86402
430,몽촌해자수변무대B,공공행사,제28회 광주하계유니버시아드대회 대한민국선수단 결단식,2015-06-25,2015-06-25,480,400,외부,1,3,3,0,0,0,15796.44595,3046.842105,6191.480392,2015년,6월,여름,몽촌해자수변무대B 공공행사 제28회 광주하계유니버시아드대회 대한민국선수단 결단식 2015년 6월 여름 외부,36997.87445
431,KSPO DOME(체조경기장),문화예술행사,2015 2PM 스페셜 콘서트,2015-06-27,2015-06-28,20000,11013,내부,2,5,6,1,0,0,6682.392273,9046.74234,6191.480392,2015년,6월,여름,KSPO DOME(체조경기장) 문화예술행사 2015 2PM 스페셜 콘서트 2015년 6월 여름 내부,22445.31514
432,KSPO DOME(체조경기장),공공행사,민주평화통일자문회의 제17기 출범회의,2015-07-01,2015-07-01,12000,10000,내부,1,2,2,0,0,0,4465.204819,5102.242857,6792.970874,2015년,7월,여름,KSPO DOME(체조경기장) 공공행사 민주평화통일자문회의 제17기 출범회의 2015년 7월 여름 내부,9172.349168
433,올림픽홀,대중공연,2015 에일리1집발매기념 콘서트,2015-07-04,2015-07-04,3200,2970,내부,1,5,5,1,0,0,6682.392273,3467.288401,6792.970874,2015년,7월,여름,우리금융아트홀 대중공연 데이브레이크 'Summer Madness 2015' 2015년 7월 여름 내부,2059.953465
434,우리금융아트홀,대중공연,데이브레이크 'Summer Madness 2015',2015-07-04,2015-07-05,1000,1525,내부,2,5,6,1,0,0,6682.392273,9046.74234,6792.970874,2015년,7월,여름,올림픽홀 대중공연 2015 에일리1집발매기념 콘서트 2015년 7월 여름 내부,3839.750054
435,핸드볼경기장,체육행사,제15회 한화생명배 세계어린이국수전 바둑대회 서울지역예선전,2015-07-05,2015-07-05,800,800,내부,1,6,6,1,0,0,4671.767123,9046.74234,6792.970874,2015년,7월,여름,핸드볼경기장 체육행사 제15회 한화생명배 세계어린이국수전 바둑대회 서울지역예선전 2015년 7월 여름 내부,1133.332668
436,우리금융아트홀,대중공연,2015 김연우 콘서트 <戀雨 속 연우>,2015-07-10,2015-07-12,2368,3375,내부,3,4,6,1,0,0,9870.415686,9046.74234,6792.970874,2015년,7월,여름,우리금융아트홀 대중공연 2015 김연우 콘서트 <戀雨 속 연우> 2015년 7월 여름 내부,2114.853359
